iterations;30;;;;;;;;;;;;
name;u_th;u_max;u_0;u_min;u_reb;v_00;v_01;v_10;v_11;v_reb;u;w;d
SO;0.6;0.9;0;0;-0.1;-2;0.7;0.7;1.5;0;0.9;[1, 0, 0, 0];[0, 0, -7, 0]
N1;0.6;0.9;0;0;-0.1;-2;0;-0.1;1.5;0;0;[0, 1, 0, 0];[1.4, 0, -7, -0.6]
N2;0.6;0.8;0;0;-0.1;-2;0;-0.25;1.5;0;0;[0, 0, 1, 0];[0.1, 0.3, 0, 0]
N3;0.4;0.45;0.1;0;0;0.4;0.4;0.1;3;7;0.1;[0, 0, 0, 1];[0, -0.5, -0.7, 0]
